year,comuna,hour,weekday,month,count
2010,2,14,4,5,1
2010,2,14,4,8,1
2010,2,14,4,10,1
2010,2,14,5,2,1
2010,2,14,5,3,2
2010,2,14,5,10,1
2010,2,14,5,11,1
2010,2,14,6,6,1
2010,2,14,6,8,1
2010,2,14,6,11,1
2010,2,15,0,2,1
2010,2,15,0,5,1
2010,2,15,0,8,2
2010,2,15,0,9,2
2010,2,15,0,11,1
2010,2,15,1,2,1
2010,2,15,1,7,1
2010,2,15,1,10,1
2010,2,15,1,11,2
2010,2,15,2,1,1
2010,2,15,2,2,1
2010,2,15,2,3,2
2010,2,15,2,4,1
2010,2,15,2,6,1
2010,2,15,2,8,1
2010,2,15,2,9,1
2010,2,15,2,10,1
2010,2,15,2,11,1
2010,2,15,2,12,1
2010,2,15,3,2,1
2010,2,15,3,3,3
2010,2,15,3,5,1
2010,2,15,3,6,1
2010,2,15,3,11,3
2010,2,15,3,12,2
2010,2,15,4,1,1
2010,2,15,4,3,1
2010,2,15,4,4,3
2010,2,15,4,6,2
2010,2,15,4,7,2
2010,2,15,4,8,1
2010,2,15,4,10,1
2010,2,15,4,11,2
2010,2,15,5,7,2
2010,2,15,6,3,2
2010,2,15,6,7,1
2010,2,16,0,1,1
2010,2,16,0,3,1
2010,2,16,0,6,1
2010,2,16,0,7,1
2010,2,16,0,12,1
2010,2,16,1,5,1
2010,2,16,1,6,1
2010,2,16,1,8,1
2010,2,16,1,10,1
2010,2,16,1,11,2
2010,2,16,2,3,2
2010,2,16,2,4,1
2010,2,16,2,8,1
2010,2,16,2,9,2
2010,2,16,2,10,2
2010,2,16,3,4,1
2010,2,16,3,5,1
2010,2,16,3,6,1
2010,2,16,3,7,1
2010,2,16,3,8,1
2010,2,16,3,12,1
2010,2,16,4,1,1
2010,2,16,4,3,1
2010,2,16,4,4,1
2010,2,16,4,6,1
2010,2,16,4,7,1
2010,2,16,4,8,3
2010,2,16,4,9,1
2010,2,16,4,11,1
2010,2,16,5,1,1
2010,2,16,5,3,1
2010,2,16,5,5,1
2010,2,16,5,8,1
2010,2,16,5,9,1
2010,2,16,5,10,1
2010,2,16,5,12,1
2010,2,16,6,5,1
2010,2,16,6,6,1
2010,2,16,6,9,1
2010,2,17,0,2,2
2010,2,17,0,3,1
2010,2,17,0,4,1
2010,2,17,0,5,1
2010,2,17,0,6,1
2010,2,17,0,9,1
2010,2,17,0,11,1
